AÑO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA.
2019,7,A Coruña,América,Argentina,491,4075,8.3
2019,7,A Coruña,América,Brasil,717,3800,5.3
2019,7,A Coruña,América,Canadá,229,1511,6.6
2019,7,A Coruña,América,Chile,70,504,7.2
2019,7,A Coruña,América,Colombia,226,1740,7.7
2019,7,A Coruña,América,Estados Unidos de América,4552,34595,7.6
2019,7,A Coruña,América,México,455,3777,8.3
2019,7,A Coruña,América,Perú,48,389,8.1
2019,7,A Coruña,América,Uruguay,141,1551,11
2019,7,A Coruña,América,Venezuela,190,1482,7.8
2019,7,Albacete,América,Argentina,36,230,6.4
2019,7,Albacete,América,Canadá,48,264,5.5
2019,7,Albacete,América,Colombia,80,624,7.8
2019,7,Albacete,América,Estados Unidos de América,278,2224,8
2019,7,Albacete,América,México,31,341,11
2019,7,Alicante/Alacant,América,Argentina,874,7254,8.3
2019,7,Alicante/Alacant,América,Brasil,336,2654,7.9
2019,7,Alicante/Alacant,América,Canadá,749,5018,6.7
2019,7,Alicante/Alacant,América,Chile,149,1207,8.1
2019,7,Alicante/Alacant,América,Colombia,864,7949,9.2
2019,7,Alicante/Alacant,América,Ecuador,104,863,8.3
2019,7,Alicante/Alacant,América,Estados Unidos de América,5266,38968,7.4
2019,7,Alicante/Alacant,América,México,367,3303,9
2019,7,Alicante/Alacant,América,Panamá,33,254,7.7
2019,7,Alicante/Alacant,América,Paraguay,30,237,7.9
2019,7,Alicante/Alacant,América,Perú,91,719,7.9
2019,7,Alicante/Alacant,América,Uruguay,169,1791,10.6
2019,7,Alicante/Alacant,América,Venezuela,140,1386,9.9
2019,7,Almería,América,Argentina,188,1692,9
2019,7,Almería,América,Brasil,68,646,9.5
2019,7,Almería,América,Canadá,116,673,5.8
2019,7,Almería,América,Colombia,108,1123,10.4
2019,7,Almería,América,Estados Unidos de América,1020,6732,6.6
2019,7,Almería,América,México,108,1015,9.4
2019,7,Araba/Álava,América,Argentina,39,300,7.7
2019,7,Araba/Álava,América,Brasil,60,456,7.6
2019,7,Araba/Álava,América,Canadá,41,168,4.1
2019,7,Araba/Álava,América,Colombia,134,1273,9.5
2019,7,Araba/Álava,América,Estados Unidos de América,632,3855,6.1
2019,7,Araba/Álava,América,México,94,705,7.5
2019,7,Asturias,América,Argentina,239,1840,7.7
2019,7,Asturias,América,Brasil,156,1357,8.7
2019,7,Asturias,América,Canadá,156,1108,7.1
2019,7,Asturias,América,Chile,67,663,9.9
2019,7,Asturias,América,Colombia,163,1320,8.1
2019,7,Asturias,América,Estados Unidos de América,2231,18294,8.2
2019,7,Asturias,América,México,603,5306,8.8
2019,7,Asturias,América,Perú,46,405,8.8
2019,7,Asturias,América,Venezuela,59,525,8.9
2019,7,Badajoz,América,Argentina,30,198,6.6
2019,7,Badajoz,América,Brasil,324,1620,5
2019,7,Badajoz,América,Canadá,69,380,5.5
2019,7,Badajoz,América,Colombia,76,547,7.2
2019,7,Badajoz,América,Estados Unidos de América,491,3683,7.5
2019,7,Badajoz,América,México,45,414,9.2
2019,7,Barcelona,América,Argentina,9639,55906,5.8
2019,7,Barcelona,América,Bahamas,45,153,3.4
2019,7,Barcelona,América,Bolivia,205,1292,6.3
2019,7,Barcelona,América,Brasil,9120,49248,5.4
2019,7,Barcelona,América,Canadá,12715,55946,4.4
2019,7,Barcelona,América,Chile,2062,10929,5.3
2019,7,Barcelona,América,Colombia,5978,32281,5.4
2019,7,Barcelona,América,Costa Rica,201,945,4.7
2019,7,Barcelona,América,Cuba,37,226,6.1
2019,7,Barcelona,América,Ecuador,803,4417,5.5
2019,7,Barcelona,América,El Salvador,119,809,6.8
2019,7,Barcelona,América,Estados Unidos de América,107965,507436,4.7
2019,7,Barcelona,América,Guatemala,193,1023,5.3
2019,7,Barcelona,América,Honduras,204,1550,7.6
2019,7,Barcelona,América,Jamaica,88,299,3.4
2019,7,Barcelona,América,México,9238,51733,5.6
2019,7,Barcelona,América,Nicaragua,106,954,9
2019,7,Barcelona,América,Panamá,311,1928,6.2
2019,7,Barcelona,América,Paraguay,239,1362,5.7
2019,7,Barcelona,América,Perú,1868,11021,5.9
2019,7,Barcelona,América,República Dominicana,143,872,6.1
2019,7,Barcelona,América,Trinidad y Tobago,75,330,4.4
2019,7,Barcelona,América,Uruguay,1113,8348,7.5
2019,7,Barcelona,América,Venezuela,654,4970,7.6
2019,7,Bizkaia,América,Argentina,175,1225,7
2019,7,Bizkaia,América,Brasil,197,1438,7.3
2019,7,Bizkaia,América,Canadá,160,752,4.7
2019,7,Bizkaia,América,Chile,73,496,6.8
2019,7,Bizkaia,América,Colombia,357,3249,9.1
2019,7,Bizkaia,América,Ecuador,57,376,6.6
2019,7,Bizkaia,América,Estados Unidos de América,2981,19078,6.4
2019,7,Bizkaia,América,México,377,3016,8
2019,7,Bizkaia,América,Nicaragua,93,651,7
2019,7,Bizkaia,América,Paraguay,48,336,7
2019,7,Bizkaia,América,Perú,41,361,8.8
2019,7,Bizkaia,América,Uruguay,35,214,6.1
2019,7,Bizkaia,América,Venezuela,59,466,7.9
2019,7,Burgos,América,Argentina,54,275,5.1
2019,7,Burgos,América,Brasil,93,577,6.2
2019,7,Burgos,América,Canadá,68,415,6.1
2019,7,Burgos,América,Chile,34,262,7.7
2019,7,Burgos,América,Colombia,105,872,8.3
2019,7,Burgos,América,Estados Unidos de América,759,5541,7.3
2019,7,Burgos,América,México,145,1334,9.2
2019,7,Cantabria,América,Argentina,99,713,7.2
2019,7,Cantabria,América,Brasil,99,644,6.5
2019,7,Cantabria,América,Canadá,115,771,6.7
2019,7,Cantabria,América,Chile,58,435,7.5
2019,7,Cantabria,América,Colombia,188,1654,8.8
2019,7,Cantabria,América,Estados Unidos de América,1575,11970,7.6
2019,7,Cantabria,América,México,525,4148,7.9
2019,7,Cantabria,América,Perú,53,429,8.1
2019,7,Cantabria,América,Venezuela,30,333,11.1
2019,7,Castellón/Castelló,América,Argentina,125,850,6.8
2019,7,Castellón/Castelló,América,Brasil,115,748,6.5
2019,7,Castellón/Castelló,América,Canadá,161,918,5.7
2019,7,Castellón/Castelló,América,Chile,38,270,7.1
2019,7,Castellón/Castelló,América,Colombia,235,1974,8.4
